id1,id2,weight
NaturalEvent,Earthquake,1
NaturalEvent,SolarEclipse,1
NaturalEvent,StormSurge,1
Province,HistoricalProvince,1
TimePeriod,CareerStation,1
TimePeriod,GeologicalPeriod,1
TimePeriod,HistoricalPeriod,1
TimePeriod,PeriodOfArtisticStyle,1
TimePeriod,PrehistoricalPeriod,1
TimePeriod,ProtohistoricalPeriod,1
TimePeriod,Year,1
TimePeriod,YearInSpaceflight,1
AnatomicalStructure,Artery,1
AnatomicalStructure,BloodVessel,1
AnatomicalStructure,Bone,1
AnatomicalStructure,Brain,1
AnatomicalStructure,Embryology,1
AnatomicalStructure,Ligament,1
AnatomicalStructure,Lymph,1
AnatomicalStructure,Muscle,1
AnatomicalStructure,Nerve,1
AnatomicalStructure,Vein,1
Territory,OldTerritory,1
Beverage,Beer,1
Beverage,Vodka,1
Beverage,Wine,1
Beverage,ControlledDesignationOfOriginWine,1
Wine,ControlledDesignationOfOriginWine,1
Department,OverseasDepartment,1
SportsSeason,MotorsportSeason,1
SportsSeason,SportsTeamSeason,1
SportsSeason,BaseballSeason,1
SportsSeason,FootballLeagueSeason,1
SportsSeason,NationalFootballLeagueSeason,1
SportsSeason,NCAATeamSeason,1
SportsSeason,SoccerClubSeason,1
SportsSeason,SoccerLeagueSeason,1
SportsTeamSeason,BaseballSeason,1
SportsTeamSeason,FootballLeagueSeason,1
SportsTeamSeason,NCAATeamSeason,1
SportsTeamSeason,SoccerClubSeason,1
SportsTeamSeason,SoccerLeagueSeason,1
SportsTeamSeason,NationalFootballLeagueSeason,1
FootballLeagueSeason,NationalFootballLeagueSeason,1
FloweringPlant,Grape,1
SportCompetitionResult,OlympicResult,1
SportCompetitionResult,SnookerWorldRanking,1
Tower,Lighthouse,1
Tower,WaterTower,1
ReligiousBuilding,Abbey,1
ReligiousBuilding,Church,1
ReligiousBuilding,Monastery,1
ReligiousBuilding,Mosque,1
ReligiousBuilding,Shrine,1
ReligiousBuilding,Synagogue,1
ReligiousBuilding,Temple,1
MotorcycleRider,MotocycleRacer,1
MotorcycleRider,SpeedwayRider,1
ClericalAdministrativeRegion,Deanery,1
ClericalAdministrativeRegion,Diocese,1
ClericalAdministrativeRegion,Parish,1
PowerStation,NuclearPowerStation,1
Name,GivenName,1
Name,Surname,1
Instrumentalist,Guitarist,1
Company,Airline,1
Company,Bank,1
Company,Brewery,1
Company,BusCompany,1
Company,Caterer,1
Company,LawFirm,1
Company,Publisher,1
Company,RecordLabel,1
Company,Winery,1
Wrestler,SumoWrestler,1
GridironFootballPlayer,AmericanFootballPlayer,1
GridironFootballPlayer,CanadianFootballPlayer,1
Engine,AutomobileEngine,1
Engine,RocketEngine,1
GeneLocation,HumanGeneLocation,1
GeneLocation,MouseGeneLocation,1
TheologicalConcept,ChristianDoctrine,1
Settlement,City,1
Settlement,CityDistrict,1
Settlement,HistoricalSettlement,1
Settlement,Town,1
Settlement,Village,1
Settlement,Capital,1
Settlement,CapitalOfRegion,1
City,Capital,1
City,CapitalOfRegion,1
Software,VideoGame,1
RacingDriver,DTMRacer,1
RacingDriver,FormulaOneRacer,1
RacingDriver,NascarDriver,1
RacingDriver,RallyDriver,1
ArchitecturalStructure,AmusementParkAttraction,1
ArchitecturalStructure,Arena,1
ArchitecturalStructure,Building,1
ArchitecturalStructure,Gate,1
ArchitecturalStructure,Infrastructure,1
ArchitecturalStructure,MilitaryStructure,1
ArchitecturalStructure,Mill,1
ArchitecturalStructure,Pyramid,1
ArchitecturalStructure,SportFacility,1
ArchitecturalStructure,Square,1
ArchitecturalStructure,Tower,1
ArchitecturalStructure,Tunnel,1
ArchitecturalStructure,Venue,1
ArchitecturalStructure,Zoo,1
ArchitecturalStructure,RollerCoaster,1
ArchitecturalStructure,WaterRide,1
ArchitecturalStructure,Casino,1
ArchitecturalStructure,Castle,1
ArchitecturalStructure,Factory,1
ArchitecturalStructure,HistoricBuilding,1
ArchitecturalStructure,Hospital,1
ArchitecturalStructure,Hotel,1
ArchitecturalStructure,Library,1
ArchitecturalStructure,Museum,1
ArchitecturalStructure,Prison,1
ArchitecturalStructure,ReligiousBuilding,1
ArchitecturalStructure,Abbey,1
ArchitecturalStructure,Church,1
ArchitecturalStructure,Monastery,1
ArchitecturalStructure,Mosque,1
ArchitecturalStructure,Shrine,1
ArchitecturalStructure,Synagogue,1
ArchitecturalStructure,Temple,1
ArchitecturalStructure,Restaurant,1
ArchitecturalStructure,ShoppingMall,1
ArchitecturalStructure,Skyscraper,1
ArchitecturalStructure,Airport,1
ArchitecturalStructure,Dam,1
ArchitecturalStructure,Dike,1
ArchitecturalStructure,LaunchPad,1
ArchitecturalStructure,Lock,1
ArchitecturalStructure,Port,1
ArchitecturalStructure,PowerStation,1
ArchitecturalStructure,NuclearPowerStation,1
ArchitecturalStructure,RestArea,1
ArchitecturalStructure,RouteOfTransportation,1
ArchitecturalStructure,Bridge,1
ArchitecturalStructure,RailwayLine,1
ArchitecturalStructure,RailwayTunnel,1
ArchitecturalStructure,Road,1
ArchitecturalStructure,RoadJunction,1
ArchitecturalStructure,RoadTunnel,1
ArchitecturalStructure,WaterwayTunnel,1
ArchitecturalStructure,Station,1
ArchitecturalStructure,ElectricalSubstation,1
ArchitecturalStructure,FillingStation,1
ArchitecturalStructure,MetroStation,1
ArchitecturalStructure,RailwayStation,1
ArchitecturalStructure,TramStation,1
ArchitecturalStructure,Fort,1
ArchitecturalStructure,Treadmill,1
ArchitecturalStructure,Watermill,1
ArchitecturalStructure,WindMotor,1
ArchitecturalStructure,Windmill,1
ArchitecturalStructure,CricketGround,1
ArchitecturalStructure,GolfCourse,1
ArchitecturalStructure,RaceTrack,1
ArchitecturalStructure,Racecourse,1
ArchitecturalStructure,SkiArea,1
ArchitecturalStructure,SkiResort,1
ArchitecturalStructure,Stadium,1
ArchitecturalStructure,Lighthouse,1
ArchitecturalStructure,WaterTower,1
ArchitecturalStructure,Theatre,1
AmusementParkAttraction,RollerCoaster,1
AmusementParkAttraction,WaterRide,1
Building,Casino,1
Building,Castle,1
Building,Factory,1
Building,HistoricBuilding,1
Building,Hospital,1
Building,Hotel,1
Building,Library,1
Building,Museum,1
Building,Prison,1
Building,ReligiousBuilding,1
Building,Restaurant,1
Building,ShoppingMall,1
Building,Skyscraper,1
Building,Abbey,1
Building,Church,1
Building,Monastery,1
Building,Mosque,1
Building,Shrine,1
Building,Synagogue,1
Building,Temple,1
Infrastructure,Airport,1
Infrastructure,Dam,1
Infrastructure,Dike,1
Infrastructure,LaunchPad,1
Infrastructure,Lock,1
Infrastructure,Port,1
Infrastructure,PowerStation,1
Infrastructure,RestArea,1
Infrastructure,RouteOfTransportation,1
Infrastructure,Station,1
Infrastructure,NuclearPowerStation,1
Infrastructure,Bridge,1
Infrastructure,RailwayLine,1
Infrastructure,RailwayTunnel,1
Infrastructure,Road,1
Infrastructure,RoadJunction,1
Infrastructure,RoadTunnel,1
Infrastructure,WaterwayTunnel,1
Infrastructure,ElectricalSubstation,1
Infrastructure,FillingStation,1
Infrastructure,MetroStation,1
Infrastructure,RailwayStation,1
Infrastructure,TramStation,1
MilitaryStructure,Fort,1
Mill,Treadmill,1
Mill,Watermill,1
Mill,WindMotor,1
Mill,Windmill,1
SportFacility,CricketGround,1
SportFacility,GolfCourse,1
SportFacility,RaceTrack,1
SportFacility,SkiArea,1
SportFacility,Stadium,1
SportFacility,Racecourse,1
SportFacility,SkiResort,1
Venue,Theatre,1
RouteOfTransportation,Bridge,1
RouteOfTransportation,RailwayLine,1
RouteOfTransportation,RailwayTunnel,1
RouteOfTransportation,Road,1
RouteOfTransportation,RoadJunction,1
RouteOfTransportation,RoadTunnel,1
RouteOfTransportation,WaterwayTunnel,1
Station,ElectricalSubstation,1
Station,FillingStation,1
Station,MetroStation,1
Station,RailwayStation,1
Station,TramStation,1
RaceTrack,Racecourse,1
SkiArea,SkiResort,1
Event,Competition,1
Event,LifeCycleEvent,1
Event,NaturalEvent,1
Event,SocietalEvent,1
Event,Contest,1
Event,PersonalEvent,1
Event,Birth,1
Event,Death,1
Event,Divorce,1
Event,Marriage,1
Event,Earthquake,1
Event,SolarEclipse,1
Event,StormSurge,1
Event,AcademicConference,1
Event,Attack,1
Event,Convention,1
Event,Election,1
Event,FilmFestival,1
Event,Meeting,1
Event,MilitaryConflict,1
Event,MusicFestival,1
Event,Rebellion,1
Event,SpaceMission,1
Event,SportsEvent,1
Event,CyclingCompetition,1
Event,FootballMatch,1
Event,GrandPrix,1
Event,InternationalFootballLeagueEvent,1
Event,MixedMartialArtsEvent,1
Event,NationalFootballLeagueEvent,1
Event,Olympics,1
Event,OlympicEvent,1
Event,Race,1
Event,CyclingRace,1
Event,HorseRace,1
Event,MotorRace,1
Event,Tournament,1
Event,GolfTournament,1
Event,SoccerTournament,1
Event,TennisTournament,1
Event,WomensTennisAssociationTournament,1
Event,WrestlingEvent,1
Competition,Contest,1
LifeCycleEvent,PersonalEvent,1
LifeCycleEvent,Birth,1
LifeCycleEvent,Death,1
LifeCycleEvent,Divorce,1
LifeCycleEvent,Marriage,1
SocietalEvent,AcademicConference,1
SocietalEvent,Attack,1
SocietalEvent,Convention,1
SocietalEvent,Election,1
SocietalEvent,FilmFestival,1
SocietalEvent,Meeting,1
SocietalEvent,MilitaryConflict,1
SocietalEvent,MusicFestival,1
SocietalEvent,Rebellion,1
SocietalEvent,SpaceMission,1
SocietalEvent,SportsEvent,1
SocietalEvent,CyclingCompetition,1
SocietalEvent,FootballMatch,1
SocietalEvent,GrandPrix,1
SocietalEvent,InternationalFootballLeagueEvent,1
SocietalEvent,MixedMartialArtsEvent,1
SocietalEvent,NationalFootballLeagueEvent,1
SocietalEvent,Olympics,1
SocietalEvent,OlympicEvent,1
SocietalEvent,Race,1
SocietalEvent,CyclingRace,1
SocietalEvent,HorseRace,1
SocietalEvent,MotorRace,1
SocietalEvent,Tournament,1
SocietalEvent,GolfTournament,1
SocietalEvent,SoccerTournament,1
SocietalEvent,TennisTournament,1
SocietalEvent,WomensTennisAssociationTournament,1
SocietalEvent,WrestlingEvent,1
PersonalEvent,Birth,1
PersonalEvent,Death,1
PersonalEvent,Divorce,1
PersonalEvent,Marriage,1
SportsEvent,CyclingCompetition,1
SportsEvent,FootballMatch,1
SportsEvent,GrandPrix,1
SportsEvent,InternationalFootballLeagueEvent,1
SportsEvent,MixedMartialArtsEvent,1
SportsEvent,NationalFootballLeagueEvent,1
SportsEvent,Olympics,1
SportsEvent,Race,1
SportsEvent,Tournament,1
SportsEvent,WrestlingEvent,1
SportsEvent,OlympicEvent,1
SportsEvent,CyclingRace,1
SportsEvent,HorseRace,1
SportsEvent,MotorRace,1
SportsEvent,GolfTournament,1
SportsEvent,SoccerTournament,1
SportsEvent,TennisTournament,1
SportsEvent,WomensTennisAssociationTournament,1
Country,HistoricalCountry,1
OrganisationMember,SportsTeamMember,1
Case,LegalCase,1
Case,SupremeCourtOfTheUnitedStatesCase,1
LegalCase,SupremeCourtOfTheUnitedStatesCase,1
Boxer,AmateurBoxer,1
Island,Atoll,1
NaturalPlace,Archipelago,1
NaturalPlace,Beach,1
NaturalPlace,BodyOfWater,1
NaturalPlace,Cape,1
NaturalPlace,Cave,1
NaturalPlace,Crater,1
NaturalPlace,Desert,1
NaturalPlace,Forest,1
NaturalPlace,Glacier,1
NaturalPlace,HotSpring,1
NaturalPlace,Mountain,1
NaturalPlace,MountainPass,1
NaturalPlace,MountainRange,1
NaturalPlace,Valley,1
NaturalPlace,Volcano,1
NaturalPlace,Bay,1
NaturalPlace,Lake,1
NaturalPlace,Ocean,1
NaturalPlace,Sea,1
NaturalPlace,Stream,1
NaturalPlace,Canal,1
NaturalPlace,Creek,1
NaturalPlace,River,1
NaturalPlace,LunarCrater,1
BodyOfWater,Bay,1
BodyOfWater,Lake,1
BodyOfWater,Ocean,1
BodyOfWater,Sea,1
BodyOfWater,Stream,1
BodyOfWater,Canal,1
BodyOfWater,Creek,1
BodyOfWater,River,1
Crater,LunarCrater,1
Stream,Canal,1
Stream,Creek,1
Stream,River,1
SportsManager,SoccerManager,1
Coach,AmericanFootballCoach,1
Coach,CollegeCoach,1
Coach,VolleyballCoach,1
Writer,Historian,1
Writer,MusicComposer,1
Writer,PlayWright,1
Writer,Poet,1
Writer,ScreenWriter,1
Writer,SongWriter,1
Swarm,Globularswarm,1
Swarm,Openswarm,1
TeamSport,Soccer,1
Politician,Chancellor,1
Politician,Congressman,1
Politician,Deputy,1
Politician,Governor,1
Politician,Lieutenant,1
Politician,Mayor,1
Politician,MemberOfParliament,1
Politician,President,1
Politician,PrimeMinister,1
Politician,Senator,1
Politician,VicePresident,1
Politician,VicePrimeMinister,1
TelevisionPersonality,Host,1
Device,Camera,1
Device,Engine,1
Device,InformationAppliance,1
Device,Instrument,1
Device,MobilePhone,1
Device,Weapon,1
Device,DigitalCamera,1
Device,AutomobileEngine,1
Device,RocketEngine,1
Device,Guitar,1
Device,Organ,1
Camera,DigitalCamera,1
Instrument,Guitar,1
Instrument,Organ,1
Artwork,Painting,1
Artwork,Sculpture,1
VolleyballPlayer,BeachVolleyballPlayer,1
Non-ProfitOrganisation,RecordOffice,1
Cleric,Cardinal,1
Cleric,ChristianBishop,1
Cleric,ChristianPatriarch,1
Cleric,Pope,1
Cleric,Priest,1
Cleric,Saint,1
Cleric,Vicar,1
Region,AdministrativeRegion,1
Region,HistoricalRegion,1
Region,NaturalRegion,1
Region,ClericalAdministrativeRegion,1
Region,Deanery,1
Region,Diocese,1
Region,Parish,1
Region,GovernmentalAdministrativeRegion,1
Region,Arrondissement,1
Region,Canton,1
Region,Department,1
Region,OverseasDepartment,1
Region,District,1
Region,HistoricalDistrict,1
Region,DistrictWaterBoard,1
Region,MicroRegion,1
Region,Municipality,1
Region,FormerMunicipality,1
Region,Prefecture,1
Region,Province,1
Region,HistoricalProvince,1
Region,Regency,1
Region,SubMunicipality,1
Region,HistoricalAreaOfAuthority,1
Region,Fiefdom,1
AdministrativeRegion,ClericalAdministrativeRegion,1
AdministrativeRegion,GovernmentalAdministrativeRegion,1
AdministrativeRegion,HistoricalAreaOfAuthority,1
AdministrativeRegion,Deanery,1
AdministrativeRegion,Diocese,1
AdministrativeRegion,Parish,1
AdministrativeRegion,Arrondissement,1
AdministrativeRegion,Canton,1
AdministrativeRegion,Department,1
AdministrativeRegion,OverseasDepartment,1
AdministrativeRegion,District,1
AdministrativeRegion,HistoricalDistrict,1
AdministrativeRegion,DistrictWaterBoard,1
AdministrativeRegion,MicroRegion,1
AdministrativeRegion,Municipality,1
AdministrativeRegion,FormerMunicipality,1
AdministrativeRegion,Prefecture,1
AdministrativeRegion,Province,1
AdministrativeRegion,HistoricalProvince,1
AdministrativeRegion,Regency,1
AdministrativeRegion,SubMunicipality,1
AdministrativeRegion,Fiefdom,1
GovernmentalAdministrativeRegion,Arrondissement,1
GovernmentalAdministrativeRegion,Canton,1
GovernmentalAdministrativeRegion,Department,1
GovernmentalAdministrativeRegion,District,1
GovernmentalAdministrativeRegion,DistrictWaterBoard,1
GovernmentalAdministrativeRegion,MicroRegion,1
GovernmentalAdministrativeRegion,Municipality,1
GovernmentalAdministrativeRegion,Prefecture,1
GovernmentalAdministrativeRegion,Province,1
GovernmentalAdministrativeRegion,Regency,1
GovernmentalAdministrativeRegion,SubMunicipality,1
GovernmentalAdministrativeRegion,OverseasDepartment,1
GovernmentalAdministrativeRegion,HistoricalDistrict,1
GovernmentalAdministrativeRegion,FormerMunicipality,1
GovernmentalAdministrativeRegion,HistoricalProvince,1
HistoricalAreaOfAuthority,Fiefdom,1
SnookerPlayer,SnookerChamp,1
PersonFunction,PoliticalFunction,1
PersonFunction,Profession,1
MusicalArtist,BackScene,1
MusicalArtist,ClassicalMusicArtist,1
MusicalArtist,Instrumentalist,1
MusicalArtist,MusicDirector,1
MusicalArtist,Singer,1
MusicalArtist,Guitarist,1
Presenter,RadioHost,1
Presenter,TelevisionHost,1
Database,BiologicalDatabase,1
MusicalWork,Album,1
MusicalWork,ArtistDiscography,1
MusicalWork,ClassicalMusicComposition,1
MusicalWork,Musical,1
MusicalWork,NationalAnthem,1
MusicalWork,Opera,1
MusicalWork,Single,1
MusicalWork,Song,1
MusicalWork,EurovisionSongContestEntry,1
Song,EurovisionSongContestEntry,1
MeanOfTransportation,Aircraft,1
MeanOfTransportation,Automobile,1
MeanOfTransportation,Locomotive,1
MeanOfTransportation,MilitaryVehicle,1
MeanOfTransportation,Motorcycle,1
MeanOfTransportation,On-SiteTransportation,1
MeanOfTransportation,Rocket,1
MeanOfTransportation,Ship,1
MeanOfTransportation,SpaceShuttle,1
MeanOfTransportation,SpaceStation,1
MeanOfTransportation,Spacecraft,1
MeanOfTransportation,Train,1
MeanOfTransportation,TrainCarriage,1
MeanOfTransportation,Tram,1
MeanOfTransportation,MilitaryAircraft,1
MeanOfTransportation,ConveyorSystem,1
MeanOfTransportation,Escalator,1
MeanOfTransportation,MovingWalkway,1
Aircraft,MilitaryAircraft,1
On-SiteTransportation,ConveyorSystem,1
On-SiteTransportation,Escalator,1
On-SiteTransportation,MovingWalkway,1
Annotation,Reference,1
UnitOfWork,Case,1
UnitOfWork,Project,1
UnitOfWork,LegalCase,1
UnitOfWork,SupremeCourtOfTheUnitedStatesCase,1
UnitOfWork,ResearchProject,1
Project,ResearchProject,1
MotorsportRacer,MotorcycleRider,1
MotorsportRacer,RacingDriver,1
MotorsportRacer,MotocycleRacer,1
MotorsportRacer,SpeedwayRider,1
MotorsportRacer,DTMRacer,1
MotorsportRacer,FormulaOneRacer,1
MotorsportRacer,NascarDriver,1
MotorsportRacer,RallyDriver,1
Gene,HumanGene,1
Gene,MouseGene,1
Satellite,ArtificialSatellite,1
GovernmentAgency,GovernmentCabinet,1
Horse,RaceHorse,1
PeriodicalLiterature,AcademicJournal,1
PeriodicalLiterature,Magazine,1
PeriodicalLiterature,Newspaper,1
PeriodicalLiterature,UndergroundJournal,1
Plant,ClubMoss,1
Plant,Conifer,1
Plant,CultivatedVariety,1
Plant,Cycad,1
Plant,Fern,1
Plant,FloweringPlant,1
Plant,Ginkgo,1
Plant,Gnetophytes,1
Plant,GreenAlga,1
Plant,Moss,1
Plant,Grape,1
Athlete,ArcherPlayer,1
Athlete,AthleticsPlayer,1
Athlete,AustralianRulesFootballPlayer,1
Athlete,BadmintonPlayer,1
Athlete,BaseballPlayer,1
Athlete,BasketballPlayer,1
Athlete,Bodybuilder,1
Athlete,Boxer,1
Athlete,BullFighter,1
Athlete,Canoeist,1
Athlete,ChessPlayer,1
Athlete,Cricketer,1
Athlete,Cyclist,1
Athlete,DartsPlayer,1
Athlete,Fencer,1
Athlete,GaelicGamesPlayer,1
Athlete,GolfPlayer,1
Athlete,GridironFootballPlayer,1
Athlete,Gymnast,1
Athlete,HandballPlayer,1
Athlete,HighDiver,1
Athlete,HorseRider,1
Athlete,Jockey,1
Athlete,LacrossePlayer,1
Athlete,MartialArtist,1
Athlete,MotorsportRacer,1
Athlete,NationalCollegiateAthleticAssociationAthlete,1
Athlete,NetballPlayer,1
Athlete,PokerPlayer,1
Athlete,Rower,1
Athlete,RugbyPlayer,1
Athlete,SnookerPlayer,1
Athlete,SoccerPlayer,1
Athlete,SquashPlayer,1
Athlete,Surfer,1
Athlete,Swimmer,1
Athlete,TableTennisPlayer,1
Athlete,TeamMember,1
Athlete,TennisPlayer,1
Athlete,VolleyballPlayer,1
Athlete,WaterPoloPlayer,1
Athlete,WinterSportPlayer,1
Athlete,Wrestler,1
Athlete,AmateurBoxer,1
Athlete,AmericanFootballPlayer,1
Athlete,CanadianFootballPlayer,1
Athlete,MotorcycleRider,1
Athlete,MotocycleRacer,1
Athlete,SpeedwayRider,1
Athlete,RacingDriver,1
Athlete,DTMRacer,1
Athlete,FormulaOneRacer,1
Athlete,NascarDriver,1
Athlete,RallyDriver,1
Athlete,SnookerChamp,1
Athlete,BeachVolleyballPlayer,1
Athlete,Biathlete,1
Athlete,BobsleighAthlete,1
Athlete,CrossCountrySkier,1
Athlete,Curler,1
Athlete,FigureSkater,1
Athlete,IceHockeyPlayer,1
Athlete,NordicCombined,1
Athlete,Skater,1
Athlete,Skijumper,1
Athlete,Skier,1
Athlete,SpeedSkater,1
Athlete,SumoWrestler,1
WinterSportPlayer,Biathlete,1
WinterSportPlayer,BobsleighAthlete,1
WinterSportPlayer,CrossCountrySkier,1
WinterSportPlayer,Curler,1
WinterSportPlayer,FigureSkater,1
WinterSportPlayer,IceHockeyPlayer,1
WinterSportPlayer,NordicCombined,1
WinterSportPlayer,Skater,1
WinterSportPlayer,Skijumper,1
WinterSportPlayer,Skier,1
WinterSportPlayer,SpeedSkater,1
WrittenWork,Annotation,1
WrittenWork,Article,1
WrittenWork,Book,1
WrittenWork,Comic,1
WrittenWork,Drama,1
WrittenWork,Law,1
WrittenWork,Letter,1
WrittenWork,MultiVolumePublication,1
WrittenWork,PeriodicalLiterature,1
WrittenWork,Play,1
WrittenWork,Poem,1
WrittenWork,Quote,1
WrittenWork,Resume,1
WrittenWork,StatedResolution,1
WrittenWork,Treaty,1
WrittenWork,Reference,1
WrittenWork,Novel,1
WrittenWork,LightNovel,1
WrittenWork,ComicStrip,1
WrittenWork,Manga,1
WrittenWork,Manhua,1
WrittenWork,Manhwa,1
WrittenWork,AcademicJournal,1
WrittenWork,Magazine,1
WrittenWork,Newspaper,1
WrittenWork,UndergroundJournal,1
Book,Novel,1
Book,LightNovel,1
Comic,ComicStrip,1
Comic,Manga,1
Comic,Manhua,1
Comic,Manhwa,1
Novel,LightNovel,1
Royalty,BritishRoyalty,1
Royalty,Baronet,1
BritishRoyalty,Baronet,1
Family,NobleFamily,1
Sport,Athletics,1
Sport,Boxing,1
Sport,HorseRiding,1
Sport,TeamSport,1
Sport,BoxingCategory,1
Sport,BoxingStyle,1
Sport,Soccer,1
Boxing,BoxingCategory,1
Boxing,BoxingStyle,1
Activity,Game,1
Activity,Sales,1
Activity,Sport,1
Activity,BoardGame,1
Activity,CardGame,1
Activity,Athletics,1
Activity,Boxing,1
Activity,BoxingCategory,1
Activity,BoxingStyle,1
Activity,HorseRiding,1
Activity,TeamSport,1
Activity,Soccer,1
Game,BoardGame,1
